delays,runtime,Model,Dataset
20000,61.61804413795471,HT,SEA_g
30000,66.18957710266113,HT,SEA_g
40000,69.58895540237427,HT,SEA_g
50000,72.06380033493042,HT,SEA_g
60000,75.52994561195374,HT,SEA_g
70000,78.10095810890198,HT,SEA_g
0,1844.0011641979215,r_TabSRA,SEA_g
1000,2037.9937953948972,r_TabSRA,SEA_g
10000,1815.875097990036,r_TabSRA,SEA_g
20000,1882.040602684021,r_TabSRA,SEA_g
30000,1799.6030831336975,r_TabSRA,SEA_g
40000,1798.5489146709442,r_TabSRA,SEA_g
50000,1818.9777190685272,r_TabSRA,SEA_g
60000,1791.7238986492157,r_TabSRA,SEA_g
70000,1803.64604139328,r_TabSRA,SEA_g
0,2506.7252626419067,u_TabSRA,SEA_g
1000,2543.3093435764317,u_TabSRA,SEA_g
10000,2588.684918642044,u_TabSRA,SEA_g
20000,2551.5131635665894,u_TabSRA,SEA_g
30000,2583.572491645813,u_TabSRA,SEA_g
40000,2519.285654067993,u_TabSRA,SEA_g
50000,2567.6681945323944,u_TabSRA,SEA_g
60000,2579.946997880936,u_TabSRA,SEA_g
70000,2522.9672541618347,u_TabSRA,SEA_g
0,966.3157248497008,r_EBM,SEA_g
1000,974.1849336624146,r_EBM,SEA_g
10000,984.0337812900544,r_EBM,SEA_g
20000,988.8352057933809,r_EBM,SEA_g
30000,993.4674108028412,r_EBM,SEA_g
40000,990.1955618858336,r_EBM,SEA_g
50000,997.9727928638458,r_EBM,SEA_g
60000,996.0319151878356,r_EBM,SEA_g
70000,1005.2569005489348,r_EBM,SEA_g
0,935.2647223472596,B_EBM,SEA_g
1000,936.7291615009308,B_EBM,SEA_g
10000,945.1212451457976,B_EBM,SEA_g
20000,948.9823622703552,B_EBM,SEA_g
30000,953.3213453292848,B_EBM,SEA_g
40000,956.0002510547638,B_EBM,SEA_g
50000,958.318596124649,B_EBM,SEA_g
60000,959.116888999939,B_EBM,SEA_g
70000,960.0919148921968,B_EBM,SEA_g
0,1393.4091429710388,r_XGBoost,SEA_g
1000,1403.035418510437,r_XGBoost,SEA_g
10000,1406.4319574832916,r_XGBoost,SEA_g
20000,1410.4168996810913,r_XGBoost,SEA_g
30000,1410.2420725822449,r_XGBoost,SEA_g
40000,1409.4471578598022,r_XGBoost,SEA_g
50000,1412.714774608612,r_XGBoost,SEA_g
60000,1426.7580001354218,r_XGBoost,SEA_g
70000,1427.5489053726196,r_XGBoost,SEA_g
0,3337.695754289627,B_XGBoost,SEA_g
1000,3352.652931451797,B_XGBoost,SEA_g
10000,3335.160482406616,B_XGBoost,SEA_g
20000,3324.63049697876,B_XGBoost,SEA_g
30000,3292.0842242240906,B_XGBoost,SEA_g
40000,3265.725096464157,B_XGBoost,SEA_g
50000,3237.2931339740758,B_XGBoost,SEA_g
60000,3215.260631084442,B_XGBoost,SEA_g
70000,3191.976884126663,B_XGBoost,SEA_g
0,918.9252302646636,DT,SEA_g
1000,913.4041640758514,DT,SEA_g
10000,923.4836838245392,DT,SEA_g
20000,925.5990722179412,DT,SEA_g
30000,930.6903791427612,DT,SEA_g
40000,933.8261902332306,DT,SEA_g
50000,934.9615840911864,DT,SEA_g
60000,935.2913188934326,DT,SEA_g
70000,936.0905134677888,DT,SEA_g
