Batch_len,AVG_DELAY_0,AVG_DELAY_1000,AVG_DELAY_10000,AVG_DELAY_20000,AVG_DELAY_30000,AVG_DELAY_40000,AVG_DELAY_50000,AVG_DELAY_60000,AVG_DELAY_70000,Model,Dataset
10078,0.9173964777405396,0.9123526535042212,0.906521126878566,0.91520997165953,0.9131002118538418,0.9150103557283528,0.8860576004894347,0.9085838275697552,0.8716132238770158,ARF,AGR_g
10066,0.9288894795582312,0.9229506921793116,0.9220042235900416,0.9292511067392192,0.9248750805998798,0.9237190322095216,0.9042600226713852,0.9300693045331084,0.9103519333897864,ARF,AGR_g
10023,0.9209061155316884,0.9160929547776478,0.9138633572357826,0.924433252247005,0.9171805999663236,0.914166092414124,0.904987568421864,0.9190792881870832,0.909479381665937,ARF,AGR_g
9967,0.9216742118999592,0.91565621507849,0.909657369173486,0.9252094744081604,0.9205987775911194,0.9169602631835164,0.90948131736071,0.9157676957023068,0.9064353752353012,ARF,AGR_g
10161,0.9241973859838776,0.9224681398786766,0.9147374886862976,0.9281766779093096,0.9220173256328036,0.9203980240654636,0.9168645177678052,0.9196457609219092,0.9090666499958736,ARF,AGR_g
10037,0.9250276173421776,0.9242203875465884,0.9169141263753244,0.929799674780136,0.921803037689129,0.9228544352979138,0.9180265541948042,0.9216939130205712,0.9098881142538514,ARF,AGR_g
9881,0.9256534025913766,0.92519675301487,0.9178304959298283,0.9300917303412864,0.9252904249160012,0.9241180853611876,0.9195984968788398,0.9222548561059184,0.9148833184733486,ARF,AGR_g
10008,0.9231974340294192,0.9212879007730852,0.9122514087450356,0.9258321000868278,0.9208808667732008,0.9197072185637498,0.9136959939162556,0.9173679680666972,0.9111728274684114,ARF,AGR_g
9965,0.917692747004638,0.9159634482596042,0.9061952699631028,0.9217923600622102,0.9176174962405488,0.9172727291969612,0.9103894994204884,0.9170788175491336,0.9123252416966824,ARF,AGR_g
9976,0.920013354601773,0.9216501859501892,0.9117616140209236,0.9268400556410687,0.9235285746855808,0.9214283995121058,0.9152263459266716,0.9230933575030272,0.9184434151431622,ARF,AGR_g
